date,deep,deep_allowed,draws,h_a,loses,missed,npxG,npxGA,npxGD,ppda,ppda_allowed,pts,result,scored,wins,xG,xGA,xpts,Season,Team
2019-08-10 15:00:00,7,5,0,h,1,3,0.670022,0.855516,-0.185494,"{'att': 274, 'def': 28}","{'att': 230, 'def': 20}",0,l,0,0,0.670022,0.855516,1.0922,2019_2020,Watford
2019-08-17 15:00:00,3,4,0,a,1,1,1.17279,0.832913,0.339877,"{'att': 157, 'def': 40}","{'att': 195, 'def': 22}",0,l,0,0,1.17279,0.832913,1.663,2019_2020,Watford
2019-08-24 15:00:00,20,10,0,h,1,3,2.29348,2.69651,-0.40303,"{'att': 195, 'def': 21}","{'att': 246, 'def': 19}",0,l,1,0,2.29348,3.45768,0.6389,2019_2020,Watford
2019-08-31 15:00:00,6,2,1,a,0,1,1.1068,1.04131,0.06549,"{'att': 252, 'def': 21}","{'att': 294, 'def': 15}",1,d,1,0,1.1068,1.04131,1.3861,2019_2020,Watford
2019-09-15 15:30:00,12,7,1,h,0,2,2.07092,1.00616,1.06476,"{'att': 254, 'def': 28}","{'att': 257, 'def': 12}",1,d,2,0,2.83209,1.00616,2.5551,2019_2020,Watford
2019-09-21 14:00:00,1,13,0,a,1,8,0.344718,5.86932,-5.524602,"{'att': 430, 'def': 12}","{'att': 238, 'def': 21}",0,l,0,0,0.344718,6.63049,0.0004,2019_2020,Watford
2019-09-28 14:00:00,10,5,0,a,1,2,1.06615,1.16363,-0.09748,"{'att': 239, 'def': 21}","{'att': 367, 'def': 16}",0,l,0,0,1.06615,1.16363,1.1868,2019_2020,Watford
2019-10-05 15:00:00,2,5,1,h,0,0,1.44318,0.353724,1.089456,"{'att': 310, 'def': 16}","{'att': 148, 'def': 22}",1,d,0,0,1.44318,0.353724,2.3876,2019_2020,Watford
2019-10-19 15:00:00,2,10,1,a,0,1,0.846851,0.891617,-0.044766,"{'att': 359, 'def': 19}","{'att': 171, 'def': 23}",1,d,1,0,0.846851,0.891617,1.2518,2019_2020,Watford
2019-10-26 15:00:00,5,3,1,h,0,0,0.674903,0.899526,-0.224623,"{'att': 342, 'def': 26}","{'att': 178, 'def': 19}",1,d,0,0,0.674903,0.899526,1.1382,2019_2020,Watford
2019-11-02 17:30:00,6,8,0,h,1,2,0.713228,2.18313,-1.469902,"{'att': 505, 'def': 25}","{'att': 214, 'def': 19}",0,l,1,0,1.4744,2.18313,0.8637,2019_2020,Watford
2019-11-08 20:00:00,3,11,0,a,0,0,1.36017,0.62104,0.73913,"{'att': 342, 'def': 22}","{'att': 144, 'def': 19}",3,w,2,1,1.36017,0.62104,1.9645,2019_2020,Watford
2019-11-23 15:00:00,5,2,0,h,1,3,0.902384,1.90164,-0.999256,"{'att': 113, 'def': 19}","{'att': 186, 'def': 16}",0,l,0,0,0.902384,2.66281,0.275,2019_2020,Watford
2019-11-30 17:30:00,5,8,0,a,1,2,0.504005,1.9671,-1.463095,"{'att': 284, 'def': 20}","{'att': 136, 'def': 18}",0,l,1,0,0.504005,1.9671,0.231,2019_2020,Watford
2019-12-04 19:30:00,4,9,0,a,1,2,0.199733,1.52619,-1.326457,"{'att': 325, 'def': 24}","{'att': 151, 'def': 21}",0,l,0,0,0.199733,2.28735,0.0991,2019_2020,Watford
2019-12-07 15:00:00,7,2,1,h,0,0,1.57132,0.210746,1.360574,"{'att': 231, 'def': 22}","{'att': 181, 'def': 20}",1,d,0,0,1.57132,0.210746,2.5715,2019_2020,Watford
2019-12-14 12:30:00,7,10,0,a,1,2,1.01166,1.56674,-0.55508,"{'att': 391, 'def': 22}","{'att': 131, 'def': 26}",0,l,0,0,1.01166,1.56674,0.9172,2019_2020,Watford
2019-12-22 14:00:00,8,8,0,h,0,0,0.83174,1.5309,-0.69916,"{'att': 284, 'def': 32}","{'att': 130, 'def': 24}",3,w,2,1,1.59291,1.5309,1.4184,2019_2020,Watford
2019-12-26 15:00:00,6,6,1,a,0,1,0.596611,1.28364,-0.687029,"{'att': 286, 'def': 14}","{'att': 198, 'def': 15}",1,d,1,0,0.596611,2.04481,0.3239,2019_2020,Watford
2019-12-28 15:00:00,8,6,0,h,0,0,2.49197,0.610997,1.880973,"{'att': 219, 'def': 25}","{'att': 208, 'def': 13}",3,w,3,1,3.25314,0.610997,2.8371,2019_2020,Watford
2020-01-01 15:00:00,7,7,0,h,0,1,1.07053,1.23252,-0.16199,"{'att': 342, 'def': 17}","{'att': 169, 'def': 20}",3,w,2,1,1.07053,1.23252,1.2322,2019_2020,Watford
2020-01-12 14:00:00,7,5,0,a,0,0,2.29827,0.320447,1.977823,"{'att': 286, 'def': 25}","{'att': 196, 'def': 15}",3,w,3,1,2.29827,0.320447,2.7243,2019_2020,Watford
2020-01-18 12:30:00,9,13,1,h,0,0,1.63057,1.76697,-0.1364,"{'att': 275, 'def': 30}","{'att': 124, 'def': 17}",1,d,0,0,2.39174,1.76697,1.8391,2019_2020,Watford
2020-01-21 19:30:00,1,6,0,a,1,2,1.81101,1.06739,0.74362,"{'att': 306, 'def': 33}","{'att': 142, 'def': 23}",0,l,1,0,1.81101,1.06739,2.0249,2019_2020,Watford
2020-02-01 15:00:00,2,5,0,h,1,3,0.919248,2.70178,-1.782532,"{'att': 231, 'def': 25}","{'att': 174, 'def': 21}",0,l,2,0,0.919248,2.70178,0.2358,2019_2020,Watford
2020-02-08 17:30:00,3,7,1,a,0,1,0.280048,0.76201,-0.481962,"{'att': 338, 'def': 22}","{'att': 143, 'def': 20}",1,d,1,0,0.280048,0.76201,0.7739,2019_2020,Watford
