date,deep,deep_allowed,draws,h_a,loses,missed,npxG,npxGA,npxGD,ppda,ppda_allowed,pts,result,scored,wins,xG,xGA,xpts,Season,Team
2019-08-10 12:30:00,1,9,0,h,1,5,1.2003,2.42264,-1.22234,"{'att': 328, 'def': 20}","{'att': 215, 'def': 31}",0,l,0,0,1.2003,3.18377,0.2522,2019_2020,West_Ham
2019-08-17 15:00:00,4,8,1,a,0,1,1.00856,2.40461,-1.39605,"{'att': 275, 'def': 31}","{'att': 192, 'def': 35}",1,d,1,0,1.00856,2.40461,0.4871,2019_2020,West_Ham
2019-08-24 15:00:00,10,20,0,a,0,1,2.69651,2.29348,0.40303,"{'att': 246, 'def': 19}","{'att': 195, 'def': 21}",3,w,3,1,3.45768,2.29348,2.1833,2019_2020,West_Ham
2019-08-31 15:00:00,12,5,0,h,0,0,2.20657,1.1674,1.03917,"{'att': 298, 'def': 38}","{'att': 236, 'def': 27}",3,w,2,1,2.20657,1.1674,2.1159,2019_2020,West_Ham
2019-09-16 19:00:00,9,4,1,a,0,0,0.535279,1.40502,-0.869741,"{'att': 222, 'def': 22}","{'att': 213, 'def': 22}",1,d,0,0,0.535279,1.40502,0.5889,2019_2020,West_Ham
2019-09-22 13:00:00,4,5,0,h,0,0,0.51376,1.27826,-0.7645,"{'att': 284, 'def': 19}","{'att': 189, 'def': 11}",3,w,2,1,0.51376,1.27826,0.6305,2019_2020,West_Ham
2019-09-28 14:00:00,17,8,1,a,0,2,1.29546,2.31957,-1.02411,"{'att': 262, 'def': 20}","{'att': 225, 'def': 20}",1,d,2,0,1.29546,2.31957,0.7235,2019_2020,West_Ham
2019-10-05 17:30:00,7,7,0,h,1,2,1.23577,1.30703,-0.07126,"{'att': 281, 'def': 19}","{'att': 281, 'def': 14}",0,l,1,0,1.23577,2.0682,0.6572,2019_2020,West_Ham
2019-10-19 12:30:00,3,11,0,a,1,2,0.459112,2.23324,-1.774128,"{'att': 191, 'def': 19}","{'att': 183, 'def': 32}",0,l,0,0,0.459112,2.23324,0.2537,2019_2020,West_Ham
2019-10-26 15:00:00,9,7,1,h,0,1,2.33891,1.16171,1.1772,"{'att': 162, 'def': 16}","{'att': 303, 'def': 21}",1,d,1,0,2.33891,1.16171,2.303,2019_2020,West_Ham
2019-11-02 15:00:00,17,5,0,h,1,3,1.53597,1.93192,-0.39595,"{'att': 100, 'def': 24}","{'att': 246, 'def': 17}",0,l,2,0,1.53597,1.93192,1.071,2019_2020,West_Ham
2019-11-09 15:00:00,5,5,0,a,1,3,0.474281,2.4158,-1.941519,"{'att': 137, 'def': 24}","{'att': 218, 'def': 24}",0,l,0,0,0.474281,2.4158,0.214,2019_2020,West_Ham
2019-11-23 12:30:00,6,3,0,h,1,3,0.661449,2.20681,-1.545361,"{'att': 272, 'def': 24}","{'att': 209, 'def': 23}",0,l,2,0,0.661449,2.20681,0.3375,2019_2020,West_Ham
2019-11-30 15:00:00,3,6,0,a,0,0,1.12034,2.73185,-1.61151,"{'att': 381, 'def': 34}","{'att': 159, 'def': 14}",3,w,1,1,1.12034,2.73185,0.3933,2019_2020,West_Ham
2019-12-04 19:30:00,4,5,0,a,1,2,0.501977,1.82237,-1.320393,"{'att': 256, 'def': 26}","{'att': 287, 'def': 31}",0,l,0,0,0.501977,1.82237,0.4048,2019_2020,West_Ham
2019-12-09 20:00:00,4,7,0,h,1,3,0.521847,1.79181,-1.269963,"{'att': 449, 'def': 37}","{'att': 139, 'def': 6}",0,l,1,0,0.521847,1.79181,0.4051,2019_2020,West_Ham
2019-12-14 17:30:00,8,7,0,a,0,0,0.90324,0.805884,0.097356,"{'att': 239, 'def': 20}","{'att': 139, 'def': 18}",3,w,1,1,0.90324,0.805884,1.3766,2019_2020,West_Ham
2019-12-26 15:00:00,8,12,0,a,1,2,0.796338,2.14195,-1.345612,"{'att': 327, 'def': 33}","{'att': 169, 'def': 17}",0,l,1,0,0.796338,2.14195,0.4473,2019_2020,West_Ham
2019-12-28 17:30:00,7,8,0,h,1,2,0.782104,1.86232,-1.080216,"{'att': 304, 'def': 34}","{'att': 167, 'def': 22}",0,l,1,0,0.782104,2.62349,0.2692,2019_2020,West_Ham
2020-01-01 17:30:00,8,4,0,h,0,0,1.56708,0.720709,0.846371,"{'att': 428, 'def': 19}","{'att': 239, 'def': 15}",3,w,4,1,2.32825,0.720709,2.5677,2019_2020,West_Ham
2020-01-10 20:00:00,3,4,0,a,1,1,0.90477,2.02768,-1.12291,"{'att': 208, 'def': 19}","{'att': 278, 'def': 28}",0,l,0,0,0.90477,2.02768,0.5763,2019_2020,West_Ham
2020-01-18 15:00:00,2,4,1,h,0,1,1.68436,1.95473,-0.27037,"{'att': 245, 'def': 25}","{'att': 223, 'def': 27}",1,d,1,0,1.68436,1.95473,1.1683,2019_2020,West_Ham
2020-01-22 19:30:00,2,18,0,a,1,4,0.401371,2.15185,-1.750479,"{'att': 316, 'def': 20}","{'att': 131, 'def': 22}",0,l,1,0,1.16254,2.91302,0.2424,2019_2020,West_Ham
2020-01-29 19:45:00,2,11,0,h,1,2,0.878341,1.83809,-0.959749,"{'att': 537, 'def': 14}","{'att': 202, 'def': 27}",0,l,0,0,0.878341,2.59926,0.2893,2019_2020,West_Ham
2020-02-01 15:00:00,5,9,1,h,0,3,1.30774,2.03179,-0.72405,"{'att': 364, 'def': 21}","{'att': 152, 'def': 24}",1,d,3,0,1.30774,2.03179,0.8782,2019_2020,West_Ham
